"reference_id","reference_details","created_by","created_date","modified_by","modified_date"
"73","King, A. 1997. Mammal, reptile and amphibian bones. In T.W. Potter &#038; A.C. King (eds), <em>Excavations at the Mola di Monte Gelato, A Roman and Medieval Settlement in South Etruria</em>. British School at Rome Archaeological Monograph 11, British School at Rome/The British Museum, London: 383-403.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"74","Klippel, W.E. &#038; Snyder, L.M. 1991. Dark-age fauna from Kavousi, Crete: the vertebrates from the 1987 and 1988 excavations. <em>Hesperia</em> 60(2): 179-186.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"75","Kotjabopoulou, E. &#038; Trantalidou, K. 1993. Faunal analysis of the Skoteini Cave. In A. Sampson (ed.), <em>Skoteini at Tharrounia. The Cave, the Settlement and the Cemetery</em>. Ephori Palaioanthropologias, Spilaiologias, Athens: 392-434.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"76","Larje, R. 1987. Animal bones. In P. Hellstr&#246;m (ed.), <em>Paradeisos (Klisi Tepe), a Late Neolithic settlement in Aegean Thrace</em>. Medelhavsmuseet Memoir 7, Stockholm: 89-118.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"77","Lawrence, P. 1982. Animal bones. In J.G. Coad &#038; A.D.F. Streeted, Excavations at Castle Acre Castle, Norfolk, 1927-77: country house and castle of the Norman earls of Surrey: 138-301. <em>Archaeological Journal</em> 139: 275-294.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"78","Leptez, S. &#038; Yvinec, J.-H. 2002. Pr&#233;sence d'esp&#232;ces animales d'origine M&#233;diterran&#233;enne en France du nord aux p&#233;riodes romaine et m&#233;di&#233;vale: actions anthropiques et mouvements naturels. In A. Gardeisen (ed.), <em>Mouvements et D&#233;placements de Populations Animales en M&#233;diterran&#233;e au cours de l'Holoc&#232;ne</em>. BAR International Series 1017, Archaeopress, Oxford: 33-42.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"79","Locker, A. 1977. Animal bones and shellfish. In D.S. Neal (ed.), Excavations at the Palace of Kings Langley Hertfordshire 1974-1976: 124-165. <em>Medieval Archaeology</em> 21: 160-162.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"80","MacKinnon, M. Personal communication.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"81","Maltby, M. 1979. <em>Faunal Studies on Urban Sites: The Animal Bones from Exeter 1971-1975</em>. Exeter Archaeological Reports 2, Department of Prehistory and Archaeology, University of Sheffield, Sheffield.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"82","Maltby, M. 1982. Animal and bird bones. In R.A. Higham &#038; S. Blaylock, Excavations at Okehampton Castle, Devon. Part 2, the Bailey: 19-151. <em>Proceedings of the Devon Archaeological Society</em> 40: 114-135.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"83","Maltby, M. 1983. The animal bone. In M. Millett & S. James (eds), Excavations at Cowdery's Down, Basingstoke, Hampshire, 1978-81: 151-279. <em>Archaeological Journal</em> 140: 167-168, 176, 187-192, 258-259.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"84","Meddens, B 2000. The animal bone. In P. Ellis, <em>The Roman Baths and Macellum at Wroxeter: Excavations by Graham Webster 1955-85</em>. Archaeological Report 9, English Heritage, London: 315-333.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"85","Nilson, K.M. 1996. Animal bones from terrace III in the lower town of Asine. In R. H&#228;gg, G.C. Nordquist &#038; B. Wells (eds),<em> Asine III. Supplementary Studies on the Swedish Excavations 1922-1930</em>. ActaAth-4&#176;, 45(1), Paul &#197;str&#246;ms F&#246;rlag, Stockholm: 111-115.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"86","Ninov, L.K. 1999. Vergleichende Untersuchungen zur Jagd und zum Jagdwild wahrend des Neolithikums and Aneolithikums in Bulgarien. In N. Benecke (ed.), <em>The Holocene History of the European Vertebrate Fauna</em>. Verlag Marie Leidorf, Faden: 323-338.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"87","Noddle, B. 1975. The animal bones. In C. Platt & R. Coleman-Smith (eds), <em>Excavations in Medieval Southampton 1953-1969, Vol. I</em>. The Excavation Reports, Leicester University Press, Leicester: 332-339.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"88","Noddle, B. 1977. Animal and plant remains. In H. Clarke &#038; Carter, A. (ed.), <em>Excavations in King's Lynn, 1963-1970</em>. Society for Medieval Archaeology Monograph Series No. 7, Vol. 2, London: 378-399.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"89","Noddle, B. 1980. Identification and interpretation of animal bones. In P. Wade-Martins (ed.), North Elmham Park, vol. II. <em>East Anglian Archaeology Report</em> 9: 375-408.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"90","Noddle, B. 1985. Animal bones. In R. Shoesmith (ed.), <em>Hereford City Excavations, Vol 3. The Finds</em>. CBA Research Report 56, Council for British Archaeology, London: 84-94.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"91","Noddle, B. 1985. The animal bones. In G. Webster, P. Fowler, B. Noddle &#038; L. Smith, The excavation of a Romano-British rural establishment at Barnsley Park, Gloucestershire 1961-1979. Part III: 73-100. <em>Transactions of Bristol and Gloucester Archaeological Society</em> 103: 82-92.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"92","Noddle, B. 1986. The animal bones. In B. Rawes, The Romano-British settlement at Haymes, Cleeve Hill, near Cheltenham: 61-93. <em>Transactions of the Bristol Gloustershire Archaeological Society</em> 104: 92.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"93","Noddle, B. 2000. Animal bone from the natatio. In P. Ellis, <em>The Roman Baths and Macellum at Wroxeter: Excavations by Graham Webster 1955-86</em>. Archaeological Report 10, English Heritage, London: 333-335.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"94","O'Connor, T. 1986. The medieval animal bones. In A.D. Zienkiewicz (ed.), <em>The Legionary Fortress Baths at Caerleon II: The Finds</em>. National Museum of Wales/CADW, Cardiff: 225-248.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
"95","Parfitt, S. 1988. The animal bones. In M. Gardiner, Excavations at Testers, White Horse Square, Steyning, 1985: 53-76. <em>Sussex Archaeological Collections</em> 126: 71-73.","acznjs","2009-11-20 00:00:00","aczjd","2016-07-03 00:00:00"
